GSE_ID,Technology,Total_Samples,Normal_Count,Tumor_Count,Unknown_Count,Tumor_to_Normal_Ratio
GSE123088,Microarray,204,53,40,111,0.75
GSE112790,Microarray,198,15,183,0,12.2
GSE107850,Microarray,195,14,181,0,12.93
GSE313642,RNA-seq,194,42,152,0,3.62
GSE305384,RNA-seq,190,68,121,1,1.78
GSE307568,RNA-seq,189,91,98,0,1.08
GSE294051,RNA-seq,188,94,92,2,0.98
GSE281781,RNA-seq,186,24,112,50,4.67
GSE261554,Microarray,180,26,64,90,2.46
GSE126870,Microarray,178,6,172,0,28.67
GSE315219,RNA-seq,174,6,156,12,26.0
GSE164760,Microarray,170,35,53,82,1.51
GSE279135,Microarray,168,10,158,0,15.8
GSE123086,Microarray,166,39,16,111,0.41
GSE118408,Microarray,166,6,160,0,26.67
GSE160120,Microarray,165,4,77,84,19.25
GSE307931,RNA-seq,164,57,107,0,1.88
GSE300453,RNA-seq,163,9,101,53,11.22
GSE312030,RNA-seq,159,39,120,0,3.08
GSE86374,Microarray,159,49,110,0,2.24
GSE205249,RNA-seq,156,31,98,27,3.16
GSE121932,Microarray,155,15,140,0,9.33
GSE206793,Microarray,152,5,147,0,29.4
GSE149322,Microarray,150,56,94,0,1.68
GSE254875,Microarray,147,2,145,0,72.5
GSE80154,Microarray,144,66,10,68,0.15
GSE90784,Microarray,142,9,133,0,14.78
GSE253587,RNA-seq,140,24,101,15,4.21
GSE146556,Microarray,139,5,134,0,26.8
GSE108124,Microarray,138,33,105,0,3.18
GSE200879,Microarray,137,9,128,0,14.22
GSE153230,Microarray,137,7,130,0,18.57
GSE162228,Microarray,133,43,90,0,2.09
GSE96669,Microarray,132,11,121,0,11.0
GSE138081,Microarray,131,10,10,111,1.0
GSE189007,Microarray,130,28,72,30,2.57
GSE149959,Microarray,130,65,65,0,1.0
GSE103176,Microarray,130,30,100,0,3.33
GSE90627,Microarray,128,96,32,0,0.33
GSE135519,Microarray,127,30,97,0,3.23
GSE181574,Microarray,127,31,96,0,3.1
GSE288910,RNA-seq,126,4,122,0,30.5
GSE211729,Microarray,126,92,34,0,0.37
GSE151102,Microarray,123,59,64,0,1.08
GSE164191,Microarray,121,62,59,0,0.95
GSE117056,Microarray,120,8,112,0,14.0
GSE225787,Microarray,120,60,60,0,1.0
GSE296270,RNA-seq,118,46,72,0,1.57
GSE68308,Microarray,118,24,94,0,3.92
GSE239832,Microarray,117,35,82,0,2.34
GSE45712,Microarray,117,15,102,0,6.8
GSE234138,Microarray,114,35,79,0,2.26
GSE174570,Microarray,114,57,57,0,1.0
GSE140973,Microarray,114,29,85,0,2.93
GSE243299,RNA-seq,112,28,82,2,2.93
GSE18908,Microarray,111,6,105,0,17.5
GSE250394,RNA-seq,110,42,32,36,0.76
GSE146558,Microarray,109,63,46,0,0.73
GSE255626,RNA-seq,109,4,105,0,26.25
GSE98780,Microarray,108,45,45,18,1.0
GSE176190,Microarray,108,54,54,0,1.0
GSE100134,Microarray,108,37,6,65,0.16
GSE121248,Microarray,107,37,70,0,1.89
GSE89377,Microarray,107,13,40,54,3.08
GSE239409,Microarray,107,22,85,0,3.86
GSE189631,Microarray,107,16,91,0,5.69
GSE181548,Microarray,105,4,101,0,25.25
GSE115002,Microarray,104,52,52,0,1.0
GSE244123,Microarray,103,10,7,86,0.7
GSE253572,RNA-seq,101,20,74,7,3.7
GSE281492,RNA-seq,101,26,70,5,2.69
GSE296213,RNA-seq,101,24,69,8,2.88
GSE248619,Microarray,100,5,95,0,19.0
GSE115458,Microarray,100,15,85,0,5.67
GSE245735,Microarray,100,52,10,38,0.19
GSE202763,RNA-seq,100,4,96,0,24.0
GSE259286,RNA-seq,98,24,68,6,2.83
GSE138178,Microarray,98,49,49,0,1.0
GSE153244,Microarray,98,2,96,0,48.0
GSE271719,Microarray,98,49,49,0,1.0
GSE168466,Microarray,98,49,49,0,1.0
GSE38174,Microarray,96,36,60,0,1.67
GSE142700,Microarray,96,48,48,0,1.0
GSE109021,Microarray,96,6,90,0,15.0
GSE144521,Microarray,96,18,43,35,2.39
GSE66841,Microarray,95,37,6,52,0.16
GSE224883,Microarray,94,8,86,0,10.75
GSE166912,Microarray,94,40,54,0,1.35
GSE310170,RNA-seq,93,15,78,0,5.2
GSE140494,Microarray,91,10,81,0,8.1
GSE234136,Microarray,91,35,56,0,1.6
GSE122372,Microarray,91,10,73,8,7.3
GSE132550,Microarray,90,10,80,0,8.0
GSE115755,Microarray,89,7,82,0,11.71
GSE105288,Microarray,88,18,70,0,3.89
GSE117049,Microarray,88,17,61,10,3.59
GSE134359,Microarray,86,12,74,0,6.17
GSE243973,Microarray,85,8,77,0,9.62
GSE237692,Microarray,85,19,66,0,3.47
GSE115611,Microarray,85,9,11,65,1.22
GSE117182,Microarray,84,60,24,0,0.4
GSE161533,Microarray,84,28,56,0,2.0
GSE115313,Microarray,84,42,42,0,1.0
GSE128449,Microarray,84,9,49,26,5.44
GSE148319,Microarray,83,36,47,0,1.31
GSE223606,Microarray,83,3,80,0,26.67
GSE314698,RNA-seq,83,50,33,0,0.66
GSE319461,RNA-seq,82,10,72,0,7.2
GSE153316,Microarray,82,41,41,0,1.0
GSE27531,Microarray,82,11,71,0,6.45
GSE208180,Microarray,81,9,72,0,8.0
GSE274640,RNA-seq,80,45,7,28,0.16
GSE138696,Microarray,80,40,40,0,1.0
GSE209875,Microarray,80,28,52,0,1.86
GSE109361,Microarray,80,40,40,0,1.0
GSE296212,RNA-seq,80,20,52,8,2.6
GSE162789,Microarray,78,12,66,0,5.5
GSE309802,RNA-seq,78,3,36,39,12.0
GSE283593,Microarray,77,59,18,0,0.31
GSE270680,RNA-seq,77,22,26,29,1.18
GSE249262,Microarray,76,15,61,0,4.07
GSE292673,RNA-seq,76,9,10,57,1.11
GSE294344,RNA-seq,76,44,32,0,0.73
GSE128213,Microarray,76,2,74,0,37.0
GSE76246,Microarray,74,14,60,0,4.29
GSE280643,Microarray,74,12,22,40,1.83
GSE98383,Microarray,74,5,69,0,13.8
GSE306117,RNA-seq,74,25,44,5,1.76
GSE141801,Microarray,74,7,67,0,9.57
GSE134381,Microarray,74,37,37,0,1.0
GSE325674,RNA-seq,73,23,50,0,2.17
GSE292858,RNA-seq,73,34,39,0,1.15
GSE124679,Microarray,72,5,67,0,13.4
GSE72653,Microarray,72,54,18,0,0.33
GSE59409,Microarray,72,16,56,0,3.5
GSE165004,Microarray,72,24,48,0,2.0
GSE108962,Microarray,72,24,18,30,0.75
GSE111260,Microarray,70,3,67,0,22.33
GSE108010,Microarray,70,24,46,0,1.92
GSE169754,Microarray,70,11,59,0,5.36
GSE136247,Microarray,69,30,39,0,1.3
GSE116294,Microarray,69,4,65,0,16.25
GSE102383,Microarray,69,25,44,0,1.76
GSE161368,RNA-seq,69,15,54,0,3.6
GSE116959,Microarray,68,11,57,0,5.18
GSE287918,RNA-seq,67,35,32,0,0.91
GSE67224,Microarray,67,6,61,0,10.17
GSE292992,RNA-seq,66,6,60,0,10.0
GSE317136,RNA-seq,66,12,42,12,3.5
GSE308020,RNA-seq,66,33,33,0,1.0
GSE139038,Microarray,65,24,41,0,1.71
GSE146996,Microarray,65,15,50,0,3.33
GSE103237,Microarray,65,15,50,0,3.33
GSE212047,Microarray,64,18,10,36,0.56
GSE108055,Microarray,64,10,12,42,1.2
GSE103412,Microarray,64,34,30,0,0.88
GSE216724,Microarray,64,7,57,0,8.14
GSE135517,Microarray,63,15,48,0,3.2
GSE143383,Microarray,63,5,58,0,11.6
GSE90713,Microarray,63,5,58,0,11.6
GSE156354,Microarray,63,27,30,6,1.11
GSE109403,Microarray,62,10,52,0,5.2
GSE112369,Microarray,62,25,37,0,1.48
GSE242447,RNA-seq,60,6,54,0,9.0
GSE270116,RNA-seq,60,18,42,0,2.33
GSE126095,Microarray,60,30,30,0,1.0
GSE100179,Microarray,60,20,20,20,1.0
GSE320155,RNA-seq,60,30,30,0,1.0
GSE96668,Microarray,60,11,49,0,4.45
GSE315341,RNA-seq,60,30,30,0,1.0
GSE205209,Microarray,60,45,15,0,0.33
GSE110225,Microarray,60,30,30,0,1.0
GSE300628,RNA-seq,60,6,54,0,9.0
GSE102451,Microarray,59,30,29,0,0.97
GSE107367,Microarray,59,21,38,0,1.81
GSE118646,Microarray,58,11,47,0,4.27
GSE134470,Microarray,58,2,35,21,17.5
GSE102807,Microarray,58,13,24,21,1.85
GSE212114,Microarray,58,32,26,0,0.81
GSE95298,Microarray,58,29,29,0,1.0
GSE128435,Microarray,58,5,31,22,6.2
GSE102765,Microarray,57,21,15,21,0.71
GSE148320,Microarray,57,28,29,0,1.04
GSE107610,Microarray,57,16,41,0,2.56
GSE288566,RNA-seq,57,35,22,0,0.63
GSE268991,RNA-seq,56,28,28,0,1.0
GSE304029,RNA-seq,56,3,53,0,17.67
GSE318878,RNA-seq,56,6,50,0,8.33
GSE90741,Microarray,55,15,36,4,2.4
GSE146553,Microarray,55,3,52,0,17.33
GSE198103,Microarray,55,25,30,0,1.2
GSE98767,Microarray,54,9,45,0,5.0
GSE116325,Microarray,54,30,24,0,0.8
GSE214094,Microarray,54,11,43,0,3.91
GSE163130,Microarray,54,42,12,0,0.29
GSE94567,Microarray,54,27,27,0,1.0
GSE128884,Microarray,54,4,36,14,9.0
GSE293444,RNA-seq,54,18,36,0,2.0
GSE225491,RNA-seq,54,23,24,7,1.04
GSE173154,Microarray,53,16,37,0,2.31
GSE284479,RNA-seq,53,8,16,29,2.0
GSE256101,RNA-seq,53,23,10,20,0.43
GSE138660,Microarray,53,14,35,4,2.5
GSE163114,Microarray,52,19,18,15,0.95
GSE86260,Microarray,52,26,26,0,1.0
GSE106260,Microarray,52,7,36,9,5.14
GSE291245,RNA-seq,51,24,3,24,0.12
GSE149955,Microarray,50,25,25,0,1.0
GSE109169,Microarray,50,25,25,0,1.0
GSE112154,Microarray,50,3,45,2,15.0
GSE126935,Microarray,50,16,34,0,2.12
GSE243276,RNA-seq,50,15,35,0,2.33
GSE278695,RNA-seq,50,25,25,0,1.0
GSE147786,Microarray,50,8,42,0,5.25
