GSE,Title,Samples,PDAT,Technology
GSE289982,m6A Methylation Suppresses anti-tumour immune responses in Colorectal Cancers by Inhibiting Double-stranded RNA accumulation from Alu Repeats,70,2026/03/09,RNA-seq
GSE323973,Expression profiling by high throughput sequencing of breast cancer,158,2026/03/07,RNA-seq
GSE323967,IRE1 drives a homeostatic response to reduced protein influx into the endoplasmic reticulum,108,2026/03/06,RNA-seq
GSE319461,DNA methylation stochasticity is linked to transcriptional variability and identifies convergent epigenetic disruption across genetically-defined subtypes of AML,82,2026/03/06,RNA-seq
GSE314566,A patient derived xenograft repository capturing clinical and molecular heterogeneity of large B-cell lymphoma,90,2026/03/05,RNA-seq
GSE291604,Acute high-dose irradiation disrupts cell adhesion and Silk-Ovarioid formation in human primary ovarian cells,50,2026/03/04,RNA-seq
GSE291245,Chronic ER Stress Induced of Cell-surface Chaperones as the Therapeutic Targets of CAR Cells in Acute Myeloid Leukemia,51,2026/03/04,RNA-seq
GSE315341,Overcoming Menin inhibitor resistance in AML cells with combinations including BET proteins and dual BRG1/BRM inhibitor [RNA-seq],60,2026/03/03,RNA-seq
GSE300453,Sequence-specific RNA recognition drives Restrictor-mediated termination of extragenic transcription,163,2026/03/03,RNA-seq
GSE290264,Multiomic Study of Cutaneous T-Cell Lymphoma Reveals Single Cell Clonal Evolution in Progression and Therapy Resistance [bulk RNA-seq],68,2026/03/03,RNA-seq
GSE281381,Alu repeat-containing RNA organizes actively transcribed genomic regions around nuclear speckle for co-transcriptional RNA processing,54,2026/03/03,RNA-seq
GSE243299,3D Chromatin Remodeling in B-cell Development and B-cell Acute Lymphoblastic Leukemia,112,2026/03/03,RNA-seq
GSE243276,3D Chromatin Remodeling in B-cell Development and B-cell Acute Lymphoblastic Leukemia [RNA-seq],50,2026/03/03,RNA-seq
GSE205249,H3K27me3 spreading organizes canonical PRC1 chromatin architecture to regulate developmental programs,156,2026/03/02,RNA-seq
GSE143584,Gene expression from laser capture microdissected epithelium and stroma during pancreatic carcinogenesis,366,2026/03/02,RNA-seq
GSE317606,A Phase II Trial of Pembrolizumab plus Granulocyte Macrophage Colony Stimulating Factor in Advanced Biliary Cancer,180,2026/03/01,RNA-seq
GSE317605,A Phase II Trial of Pembrolizumab plus Granulocyte Macrophage Colony Stimulating Factor in Advanced Biliary Cancer [CITE-Seq],168,2026/03/01,RNA-seq
GSE246366,MCF-7 cells and ER+ PDX model treated with GDC-9545,96,2026/03/01,RNA-seq
GSE225491,Cooperativity between H3-K27M and PDGFRA poses multiple therapeutic vulnerabilities in human iPSC-derived diffuse midline glioma avatars (RNA-Seq),54,2026/03/01,RNA-seq
GSE320287,NF-κB transcriptionally perturbs p53 dynamics hampering DNA2repair.,56,2026/02/28,RNA-seq
GSE304059,"Mechanism study of RBX1 promoting renal clear cell carcinoma invasion, immune suppression, and sunitinib resistance",614,2026/02/28,RNA-seq
GSE305384,Inhibition of p300/CREBBP catalytic activity drives context-dependent transcriptional activation in AML,190,2026/02/27,RNA-seq
GSE279594,BCR::ABL1-induced enhancer reprogramming uncovers hypersensitivity of Ph+B-ALL cells to enhancer-targeting drugs [RNA-Seq],52,2026/02/27,RNA-seq
GSE306609,Sensitive CAR T cells redefine targetable CD70 expression in solid tumors [RNA-seq RCC],55,2026/02/26,RNA-seq
GSE253587,Deconvolution of regulatory T cell heterogeneity identifies cycling precursors as conductors of immune escape during breast carcinoma progression,140,2026/02/26,RNA-seq
GSE253572,Deconvolution of regulatory T cell heterogeneity identifies cycling precursors as conductors of immune escape during breast carcinoma progression,101,2026/02/26,RNA-seq
GSE320155,scRNA‑seq of human intra‑hepatic CD4⁺ T cells reveals unique Treg transcriptional identities and two steady‑state tissue‑adaptation programs across healthy and HCC liver samples,60,2026/02/25,RNA-seq
GSE315959,Dissecting FOXA1 pioneering function by acute pharmacological degradation.,51,2026/02/25,RNA-seq
GSE307292,Multi-omics data analysis for the JGOG3025-TR1 ovarian clear cell carcinoma cohort.,189,2026/02/25,RNA-seq
GSE300278,Sequencing of total RNA from human naevi and adjacent normal skin,64,2026/02/25,RNA-seq
GSE279688,The role of LEDGF in transcription is exploited by HIV-1 to position integration,56,2026/02/25,RNA-seq
GSE317136,EWSR1::FLI1 Suppresses Ribosome Biogenesis and Creates a Targetable Vulnerability in Ewing Sarcoma,66,2026/02/23,RNA-seq
GSE314812,Divergent clonal evolution and tumor microenvironment remodeling shape gastric cancer peritoneal metastasis,55,2026/02/23,RNA-seq
GSE297395,Extracellular vesicles and their RNA cargo facilitate bidirectional cross-kingdom communication between human and bacterial cells [RNA-Seq],105,2026/02/20,RNA-seq
GSE259286,In vitro modeling of nutritional and mitochondrial-targeted therapies for osteosarcoma,98,2026/02/19,RNA-seq
GSE319868,"A novel potent and selective GCN2 inhibitor, APL-4098, has anti-leukemic activity through dysregulation of mitochondrial function",64,2026/02/18,RNA-seq
GSE310793,PRECISE: A prognostic thyroid follicular-cell derived gene signature for papillary thyroid carcinoma,109,2026/02/18,RNA-seq
GSE256101,Mechanisms linking cytoplasmic decay of translation-defective mRNA to transcriptional adaptation,53,2026/02/18,RNA-seq
GSE294344,DEAH-BOX HELICASE 8 IS A REGULATOR OF HEAT SHOCK FACTOR 1,76,2026/02/17,RNA-seq
GSE293444,STAT1 and STAT3 Signaling in Ovarian Cancer: Prognostic Biomarkers and Therapeutic Targets [RNA-seq],54,2026/02/16,RNA-seq
GSE312881,Time‑resolved multi-omic analysis of paclitaxel exposure in human iPSC‑derived sensory neurons unveils mechanisms of chemotherapy‑induced peripheral neuropathy,71,2026/02/15,RNA-seq
GSE268991,Transcriptional profile and TCR sequences from tumor and adjacent normal human colorectal samples,56,2026/02/15,RNA-seq
GSE236530,Enzyme-mediated methylation and alkynylation enables transcriptome-wide identification of pseudouridine modifications,50,2026/02/15,RNA-seq
GSE319496,"Association between blood parameters, whole-blood transcriptomic profiles, and immune-related adverse events in metastatic renal cell carcinoma during nivolumab plus ipilimumab",51,2026/02/14,RNA-seq
GSE307568,Patient-derived organoid – immune cell co-culture platform for therapeutics discovery in high-grade endometrial cancer,189,2026/02/14,RNA-seq
GSE317512,"Age-stratified transcriptomic profiling reveals biologically distinct molecular phenotypes across pediatric, adolescent, and adult osteosarcoma",70,2026/02/11,RNA-seq
GSE285392,Incorporating histone H2B variants into chromatin modifies chromatin accessibility to induce the epithelial-to-mesenchymal transition in breast cancer,74,2026/02/11,RNA-seq
GSE155631,Oncogenic mechanisms of DIS3 mutations in Multiple Myeloma,62,2026/02/11,RNA-seq
GSE301741,Single cell analysis highlights the significance of malignant cell IFN/MHC-II for immunotherapy response in head and neck squamous cell carcinoma,58,2026/02/10,RNA-seq
GSE261054,Bypass of blocking lesions by RNAPII reveals a novel stress induced by DNA damage [RNA-seq],62,2026/02/10,RNA-seq
GSE318878,Micro-RNA networks in T-cell prolymphocytic leukemia reflect T-cell activation and shape DNA damage response and survival pathways,56,2026/02/09,RNA-seq
GSE315219,PHIP suppresses NuRD to enable the growth of SWI/SNF-mutant cancers,174,2026/02/09,RNA-seq
GSE292272,EPB41L4A-AS1 long noncoding RNA acts in both cis- and trans-acting transcriptional regulation and controls nucleolar biology,82,2026/02/09,RNA-seq
GSE294705,High-frequency recurrence index for predicting multiple recurrences in non-muscle-invasive bladder cancer (Validation cohort),94,2026/02/07,RNA-seq
GSE318308,Phase II proof-of-concept study of durvalumab and cediranib with and without olaparib in recurrent ovarian cancer,75,2026/02/06,RNA-seq
GSE314342,Genome-scale perturb-seq in primary human CD4+ T cells reveals genes regulating T cell programs and human immune traits.,121,2026/02/06,RNA-seq
GSE291147,Mapping convergent regulators of melanoma drug resistance by PerturbFate,320,2026/02/06,RNA-seq
GSE289256,Multi-omic landscape of squamous cell lung cancer,116,2026/02/06,RNA-seq
GSE281781,MYC binding to nascent RNA suppresses innate immune signaling by R-loop-derived RNA-DNA hybrids,186,2026/02/06,RNA-seq
GSE308745,The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[PB cohort2],87,2026/02/05,RNA-seq
GSE318420,Immunosuppressive monocytes are enriched in hepatocellular carcinoma patients with liver dysfunction in a phase II trial of combination sorafenib and nivolumab,210,2026/02/04,RNA-seq
GSE318268,CMS subtypes correlate with complete response in trial of neoadjuvant Galunisertib plus chemoradiation in rectal cancer,73,2026/02/04,RNA-seq
GSE318135,β-Lapachone Antagonizes Ubiquitin-Specific Protease 18 Activity to Elicit Anti-Neoplastic Effects,54,2026/02/04,RNA-seq
GSE314660,Identifying expression and DNA methylation biomarkers for lung adenocarcinoma risk in East Asia [RNA-seq],61,2026/02/04,RNA-seq
GSE250394,TFIIB,110,2026/02/04,RNA-seq
GSE312063,Characterization of esophageal squamous cell carcinoma cell lines sensitivity to Palbociclib,88,2026/02/02,RNA-seq
GSE288566,Cup-like nuclei is a hallmark of IGH:DUX4 acute lymphoblastic leukemia and reveals cytoplasmic mitochondria accumulation,57,2026/02/02,RNA-seq
GSE287531,The effects of ATP and CD39 inhibition in monocyte-derived dendritic cells.,54,2026/02/02,RNA-seq
GSE318164,Molecular Heterogeneity and Immune Infiltration Drive Clinical Outcomes in Upper Tract Urothelial Carcinoma,113,2026/02/01,RNA-seq
GSE289582,"Baseline tumor features and peripheral blood immune dynamics that underlie efficacy in MSS metastatic colorectal cancer treated with regorafenib, ipilimumab, and nivolumab [Blood]",115,2026/02/01,RNA-seq
GSE315130,"Differential mRNA expression analysis of multiple human and mouse pancreatic cancer cells and tumors after DMSO, tazemetostat, RMC-6236, or the combination treatment.",67,2026/01/31,RNA-seq
GSE317901,"Unraveling cetuximab response in head and neck cancer with APHRODYTHE, a multi-omics patient-derived xenograft platform",114,2026/01/30,RNA-seq
GSE298020,PU.1-Activated Genomic Regions Define Low-risk MDS Subsets Characterized by Immune Dysregulation and Disease Progression.,493,2026/01/29,RNA-seq
GSE298019,PU.1-Activated Genomic Regions Define Low-risk MDS Subsets Characterized by Immune Dysregulation and Disease Progression [RNA-seq],357,2026/01/29,RNA-seq
GSE303300,Neoadjuvant Immune Checkpoint Blockade Before Chemoradiation for Patients with FIGO Stage IB3–IVA Cervical Squamous Carcinoma: GINECO Window-Of-Opportunity COLIBRI Study,96,2026/01/28,RNA-seq
GSE311112,Single-cell RNA-seq analysis reveals distinct tumor and immunosuppressive T-cell phenotypes in CLL patients treated with ibrutinib,105,2026/01/27,RNA-seq
GSE273528,Vascular invasion-associated gene expression is detectable in pre-surgical biopsies of stage I lung adenocarcinoma,221,2026/01/26,RNA-seq
GSE273377,Vascular invasion-associated gene expression is detectable in pre-surgical biopsies of stage I lung adenocarcinoma [bulkRNA-seq],169,2026/01/26,RNA-seq
GSE255517,Rational design of immune gene therapy combinations via in vivo CRISPR activation screening of tumor microenvironment modulators,57,2026/01/23,RNA-seq
GSE298483,Induction of a renal developmental cell state is associated with chemotherapy resistance in favorable-histology Wilms tumor,62,2026/01/21,RNA-seq
GSE255626,Next generation sequencing from primary glioblastoma patient tissues (Total RNA-seq),109,2026/01/21,RNA-seq
GSE310173,Embryonic stem cell factors DPPA2/4 amplify active H3K4me3-H2AK119ub chromatin domains in non-small cell lung cancer,300,2026/01/20,RNA-seq
GSE310170,Embryonic stem cell factors DPPA2/4 amplify active H3K4me3-H2AK119ub chromatin domains in non-small cell lung cancer (RNA-seq),93,2026/01/20,RNA-seq
GSE272002,"TAS1440, an LSD1 Inhibitor, Disrupts the INSM1-LSD1 Complex to Activate Tumor-Suppressive Pathways via Transcriptional Reprogramming in Neuroendocrine SCLC [RNA-seq]",324,2026/01/20,RNA-seq
GSE290089,"Evolutionarily divergent transcriptomic programs in ovarian folliculogenesis across mice, monkeys and humans",660,2026/01/19,RNA-seq
GSE290074,"Evolutionarily divergent transcriptomic programs in ovarian folliculogenesis across mice, monkeys and humans [Human]",297,2026/01/19,RNA-seq
GSE288344,Targeted citrullination enables p53 binding to non-canonical sites,258,2026/01/17,RNA-seq
GSE161369,Pancreatic Cancer Datasets,237,2026/01/16,RNA-seq
GSE161368,TF overexpression assay in PDA cell lines (Bulk RNA-Seq),69,2026/01/16,RNA-seq
GSE274640,MYOD1L122R induces cancer stem cell pathways to impart chemotherapy and radiation-resistance in aggressive rhabdomyosarcoma.,80,2026/01/14,RNA-seq
GSE315878,Lack of synergy between AR targeted therapies and PARP inhibition in homologous recombination- proficient prostate cancer,70,2026/01/13,RNA-seq
GSE202763,Receptor Tyrosine Kinases phosphorylate RNA polymerase II at signal-responsive genes,100,2026/01/13,RNA-seq
GSE316098,Spatial Transcriptomic Landscape of Invasion Patterns in Human Papillomavirus-Associated Endocervical Adenocarcinoma,186,2026/01/12,RNA-seq
GSE280480,Gene expression profiling reveals two overarching types of anaplastic large cell lymphoma with distinct targetable biology: an LLMPP study,393,2026/01/09,RNA-seq
GSE268636,Androgen receptor splice variant expression and prostate cancer recurrence after salvage therapy,56,2026/01/07,RNA-seq
GSE304327,Transcriptomic analysis of BPA alternative chemicals in primary human mammary epithelial cells,666,2026/01/06,RNA-seq
GSE281556,Lysosomal sequestration of PARP inhibitors drives heterogeneous accumulation in ovarian cancer to increase efficacy,204,2026/01/06,RNA-seq
GSE310729,Age-independent and targetable transcription factor networks regulate CD8+ T cell senescence in aging humans,83,2026/01/05,RNA-seq
GSE281517,Lysosomal sequestration of PARP inhibitors drives heterogeneous accumulation in ovarian cancer to increase efficacy [RNA-seq],72,2026/01/05,RNA-seq
GSE299759,An integrated clinical genomic and transcriptomic subgrouping of central chondrosarcoma,54,2026/01/04,RNA-seq
GSE306117,Distinct genomic and immunologic tumor evolution in germline TP53-driven breast cancers,74,2026/01/01,RNA-seq
GSE301596,Uncovering glioblastoma origin cells: Isolation and characterization from the subventricular zone,211,2026/01/01,RNA-seq
GSE295961,Genomic profiling of active vitamin D colonic responses in African- and European-Americans identifies an ancestry-related regulatory variant of POLB,157,2026/01/01,RNA-seq
GSE288910,RNA structure directs RNA partitioning and is actively disrupted inside stress granules to enable cellular recovery,126,2025/12/31,RNA-seq
GSE279147,The selective RRM2 inhibitor TAS1553 is synergistic with multiple CHK1 inhibitors in neuroblastoma,70,2025/12/31,RNA-seq
GSE272757,Driver mutation landscape of acute myeloid leukemia provides insights for neoantigen-based immunotherapy [RNA-seq],147,2025/12/31,RNA-seq
GSE162738,Immune gene signatures in oropharyngeal cancers are associated with inverse prognosis by HPV-status,51,2025/12/31,RNA-seq
GSE310119,"A SWI/SNF -specific Ig-like domain, SWIFT, is a transcription factor binding platform",231,2025/12/30,RNA-seq
GSE309697,Generation of a Comprehensive Epigenomic Atlas in Clear Cell Renal Cell Carcinoma Informs Kidney Cancer Progression and Heritability,265,2025/12/30,RNA-seq
GSE248589,Podocyte,72,2025/12/30,RNA-seq
GSE314698,Pancreatic volume and immunological biomarkers predict checkpoint inhibitor-associated autoimmune diabetes in humans.,83,2025/12/26,RNA-seq
GSE296159,Deep targeted sequencing reveals genomic differences between primary and recurrent high-grade serous ovarian cancer,108,2025/12/23,RNA-seq
GSE303377,Colorectal Cancer cohort from the Geneva Cancer Registry,384,2025/12/20,RNA-seq
GSE302999,"Chronic NK cell activation results in a dysfunctional, tissue resident-like state mediated by KLF2 deficiency",59,2025/12/20,RNA-seq
GSE311789,DeCAF redefines fibroblast states uncovering multidimensional tumor-stroma relationships driving clinical tumor progression and immunotherapy response,142,2025/12/18,RNA-seq
GSE310957,DeCAF redefines fibroblast states uncovering multidimensional tumor-stroma relationships driving clinical tumor progression and immunotherapy response [RNA-Seq],129,2025/12/18,RNA-seq
GSE309802,OR7A10 GPCR engineering boosts CAR-NK therapy against solid tumors,78,2025/12/17,RNA-seq
GSE296213,LINE-1 locus transcription nucleates oncogenic chromatin architecture,101,2025/12/17,RNA-seq
GSE296212,LINE-1 locus transcription nucleates oncogenic chromatin architecture [RNA-Seq],80,2025/12/17,RNA-seq
GSE280902,Identification of neoadjuvant chemotherapy response transcriptomic meta-signatures in invasive breast cancer in Latino patients,58,2025/12/17,RNA-seq
GSE313117,Cross-platform comparison of gene expression-based cancer molecular subtyping reveals discrepancies with exome capture methods,158,2025/12/15,RNA-seq
GSE290623,Opposing functions of distinct regulatory T cell subsets in colorectal cancer,142,2025/12/15,RNA-seq
GSE290622,Opposing functions of distinct regulatory T cell subsets in colorectal cancer,102,2025/12/15,RNA-seq
GSE280899,PUF60-Mediated Splicing Is a Key Driver of Triple Negative Breast Cancer,112,2025/12/15,RNA-seq
GSE255765,MCF-7 ESR1 drug response bulk RNA,64,2025/12/15,RNA-seq
GSE242447,METTL3-based epitranscriptomic editing screening identifies functional m6A sites in cancers,60,2025/12/15,RNA-seq
GSE237332,Transcriptional profiling of liver biopsies of precancerous viral hepatitis patients,106,2025/12/15,RNA-seq
GSE253121,NELF prevents widespread transcriptional readthrough into DNA replication zones of cancer cells,70,2025/12/13,RNA-seq
GSE313642,Immunosuppressive monocytes are enriched in hepatocellular carcinoma patients with liver dysfunction in a phase II trial of combination sorafenib and nivolumab [CITE-Seq],194,2025/12/12,RNA-seq
GSE312144,Molecular indicators of hepatocellular carcinoma resistance to Y-90 microspheres revealed through high-throughput screening of cell lines and transcriptomics,51,2025/12/12,RNA-seq
GSE307931,Circulating transcriptome analysis finds gene signatures and immune cell activation and abundance predict response to immunotherapy in bladder cancer,164,2025/12/12,RNA-seq
GSE302122,CX-5461 and Doxorubicin activate a shared DNA damage–associated transcriptional response in human cardiomyocytes,144,2025/12/11,RNA-seq
GSE313098,Time-series RNA-seq analysis reveals dynamic transcriptional responses and crosstalk in chronic lymphocytic leukaemia (CLL) autologous and monoculture in vitro models,60,2025/12/10,RNA-seq
GSE312695,Gene expression analysis of non-clear-cell renal cell carcinoma and clear-cell renal cell carcinoma kidney cancers,140,2025/12/10,RNA-seq
GSE302752,"Safety, feasibility and pharmacodynamic activity of intratumoral injections of the agonist anti-CD137 (4-1BB) mAb urelumab in combination with nivolumab",76,2025/12/10,RNA-seq
GSE300150,Single-cell multidimensional profiling of tumor cell heterogeneity in supratentorial ependymomas [scRNA-Seq],55,2025/12/09,RNA-seq
GSE260452,Single-cell multidimensional profiling of tumor cell heterogeneity in supratentorial ependymomas,111,2025/12/09,RNA-seq
GSE312030,Combined inhibition of HRAS and MEK induces tumor regression and restores myogenic differentiation in HRAS-mutant rhabdomyosarcoma,159,2025/12/08,RNA-seq
GSE312368,A targetable developmental program co-regulates angiogenesis and immune evasion.,77,2025/12/04,RNA-seq
GSE308020,Integrative multi-omics deciphers the potential mechanism and microbial biomarkers for lymph node metastasis in colorectal cancer,66,2025/12/04,RNA-seq
GSE278695,Screening and Modeling of LUAD-Associated Predictive and Prognostic Genes Based on Multi-Omics Data,50,2025/12/04,RNA-seq
GSE310388,In situ multi-modal characterization of pancreatic cancer reveals tumor cell identity as a defining factor of the surrounding microenvironment. [RNA-Seq],171,2025/12/03,RNA-seq
GSE310353,In situ multi-modal characterization of pancreatic cancer reveals tumor cell identity as a defining factor of the surrounding microenvironment,116,2025/12/03,RNA-seq
GSE270680,A spatially resolved atlas of gastric cancer characterises a lymphocyte aggregated region [scRNA-seq],77,2025/12/03,RNA-seq
GSE311851,LSD1 Performs Demethylase-Independent and Context-Specific Roles in Ewing Sarcoma,114,2025/12/02,RNA-seq
GSE309004,Molecular determinants of neoadjuvant chemotherapy resistance in breast cancer: An analysis of gene expression and tumor microenvironment,54,2025/12/02,RNA-seq
GSE237331,Transcriptional profiling of liver biopsies of precancerous viral hepatitis patients: Validation cohort,50,2025/12/02,RNA-seq
GSE237330,Transcriptional profiling of liver biopsies of precancerous viral hepatitis patients: Training cohort,56,2025/12/02,RNA-seq
GSE296270,The Histone Methyltransferase KMT2D is a Critical Mediator of Lineage Plasticity and Therapeutic Response in Castration Resistant Prostate Cancer,118,2025/12/01,RNA-seq
GSE311827,AP-1 Mediates Cellular Adaptation and Memory Formation [Bulk RNA-seq],192,2025/11/28,RNA-seq
GSE310423,Determinants of long-term response to patritumab deruxtecan (HER3-DXd) in breast cancer patient-derived xenografts.,167,2025/11/28,RNA-seq
GSE307574,Determinants of long-term response to patritumab deruxtecan (HER3-DXd) in breast cancer patient-derived xenografts,58,2025/11/28,RNA-seq
GSE270116,Lymphotoxin alpha eradicates acute myeloid leukemia and simultaneously promotes healthy hematopoiesis in mice,60,2025/11/26,RNA-seq
GSE221608,"Transcriptome sequencing of normal intestinal mucosal tissues, paired primary CRC tissues and liver metastases lesions in participants of CRC",52,2025/11/26,RNA-seq
GSE296748,Dp16 liver transcriptome,78,2025/11/25,RNA-seq
GSE260456,DOT1L provides transcriptional memory through PRC1.1 antagonism [RNA-seq],180,2025/11/23,RNA-seq
GSE303648,Rb1 deficiency induces synthetic lethality with ATR and PKMYT1 co-inhibition in breast cancer,57,2025/11/21,RNA-seq
GSE282471,Genomic and transcriptomic analysis of Japanese melanoma reveals candidate biomarkers for immune checkpoint inhibitor responders.,111,2025/11/21,RNA-seq
GSE309795,Multiscale profiling of tyrosine kinase inhibitor cardiotoxicity reveals mechanosensitive ion channel PIEZO1 as cardioprotective [bulk RNA-seq],72,2025/11/19,RNA-seq
GSE303870,A tumor-associated macrophage-targeted immunocytokine leveraging T and NK cell synergy for potent cancer immunotherapy,223,2025/11/19,RNA-seq
GSE297742,Bulk RNA-seq of primary tumor biopsy samples from prostate adenocarcinoma patients,234,2025/11/19,RNA-seq
GSE282705,"BLU-222, a Potent CDK2 Inhibitor, Synergizes with CDK4/6 Inhibitors to Overcome Drug Resistance in HR–Positive and Triple-Negative Breast Cancer by Inducing p21 and p27",90,2025/11/18,RNA-seq
GSE266298,Epigenetic changes by EZH2 inhibition increase translocations in B cells with high AID activity or DNA repair deficiency,130,2025/11/18,RNA-seq
GSE304029,BRD2 Bromodomain-Mediated Regulation of Cell State Plasticity Modulates Therapy Response in Glioblastoma,56,2025/11/17,RNA-seq
GSE225951,A dual role of EZH2 in regulating A-to-I RNA editing and mRNA stability through ADAR1,75,2025/11/15,RNA-seq
GSE290435,Environmentally Relevant Lead Exposure Impacts Gene Expression in SH-SY5Y Cells Throughout Neuronal Differentiation,60,2025/11/14,RNA-seq
GSE286888,Comparative gene expression profiling of high-grade serous ovarian cancer cells exposed to cisplatin or CX-5461,60,2025/11/14,RNA-seq
GSE293331,Allelic topological centering by transcription factors drives oncogenic multi-enhancer transcriptional regulation [RNA-seq],54,2025/11/13,RNA-seq
GSE287918,BPTF regulstes androgen receptor activity by enhancing chromatin accessibility and stabilizing the AR-FOXA1 interaction,67,2025/11/13,RNA-seq
GSE284479,Altered thymopoiesis in thymoma is associated with defects in negative selection machinery and decreased Treg abundance,53,2025/11/13,RNA-seq
GSE294391,Effect of the poly-ICLC vaccine adjuvant on prostate cancer patients’ PBMC,70,2026/04/10,Microarray
GSE293981,The molecular architecture of incidental meningiomas,260,2026/04/09,Microarray
GSE293815,Targeted gene expression panel for incidental meningiomas,129,2026/04/09,Microarray
GSE324677,Parity-conditioned Hedgehog/VDR-linked NanoString profiling of histologically normal human breast tissue,148,2026/03/17,Microarray
GSE324676,Parity-conditioned Hedgehog/VDR-linked NanoString profiling of histologically normal human breast tissue (IO360),74,2026/03/17,Microarray
